nodenumber     x-coordinate     y-coordinate     z-coordinate         pressure 
       280 -2.198195955E-01 -5.941180806E-02  1.118848244E-01 -6.340693738E+01 
       281 -1.668986010E-01 -4.090215367E-02  1.119350948E-01 -2.438669155E+02 
       282 -1.752708765E-01 -3.547778745E-02  1.119671776E-01 -1.039973988E+02 
       283 -1.889024561E-01 -1.141217996E-02  1.119832576E-01 -7.684108747E+01 
       284 -1.952812970E-01 -1.901219174E-02  1.121183695E-01 -6.948373669E+01 
       285 -1.837702811E-01 -1.003765301E-02  1.121353553E-01 -7.319646908E+01 
       286 -1.737382404E-01 -7.273028741E-02  1.122716962E-01 -7.468450832E+01 
       287 -2.150955403E-01 -3.723102683E-02  1.123894354E-01 -5.761466493E+01 
       288 -1.915167274E-01 -1.247079476E-02  1.125902424E-01 -8.224177105E+01 
       289 -1.786243321E-01 -1.832748738E-02  1.126254678E-01 -7.853162462E+01 
       290 -1.797060150E-01 -1.351153546E-02  1.126675647E-01 -7.013522826E+01 
       291 -1.710515436E-01 -6.157605055E-02  1.127149399E-01 -8.773541704E+01 
       292 -1.861530490E-01 -7.666059987E-03  1.127671364E-01 -7.851428930E+01 
       293 -1.980806440E-01 -2.328693687E-02  1.127902238E-01 -5.931376532E+01 
       294 -2.040561593E-01 -2.965744098E-02  1.128035486E-01 -4.863549877E+01 
       295 -1.946520754E-01 -1.642443620E-02  1.128861200E-01 -7.981455443E+01 
       296 -1.882301423E-01 -8.310364101E-03  1.129253589E-01 -8.127506741E+01 
       297 -1.778020091E-01 -2.313742363E-02  1.129559913E-01 -1.043053861E+02 
       298 -1.809287471E-01 -8.917400341E-03  1.130372533E-01 -7.441623784E+01 
       299 -1.692467077E-01 -3.711796125E-02  1.131516296E-01 -6.288469948E+01 
       300 -2.094785873E-01 -2.865119842E-02  1.132515064E-01 -3.087134492E+01 
       301 -2.216460553E-01 -6.765903506E-02  1.133338614E-01 -6.362780191E+01 
       302 -2.192697042E-01 -6.816978255E-02  1.133622546E-01 -5.966236413E+01 
       303 -1.774052211E-01 -2.790786091E-02  1.134348547E-01 -1.402037275E+02 
       304 -1.779308362E-01 -7.692655343E-02  1.134433601E-01 -7.297814653E+01 
       305 -1.780235899E-01 -1.561025570E-02  1.134948381E-01 -8.266309391E+01 
       306 -1.848687663E-01 -5.269220295E-03  1.135147355E-01 -8.321016435E+01 
       307 -1.791162701E-01 -1.053539118E-02  1.135360020E-01 -7.487681500E+01 
       308 -1.974636772E-01 -2.051831817E-02  1.136478671E-01 -6.801332144E+01 
       309 -1.716179769E-01 -3.678666324E-02  1.136977502E-01 -6.871391376E+01 
       310 -1.772882946E-01 -2.047230048E-02  1.137471117E-01 -1.075932915E+02 
       311 -1.810795958E-01 -6.049065264E-03  1.137488990E-01 -8.085240508E+01 
       312 -1.928045925E-01 -1.136277559E-02  1.138118761E-01 -9.625373022E+01 
       313 -1.690804608E-01 -5.322449465E-02  1.138173528E-01 -1.127479570E+02 
       314 -2.096564111E-01 -2.879796050E-02  1.138451717E-01 -2.605597471E+01 
       315 -2.164506375E-01 -4.267015688E-02  1.138529449E-01 -5.606783535E+01 
       316 -2.004962564E-01 -2.772968901E-02  1.139213766E-01 -5.613978729E+01 
