nodenumber     x-coordinate     y-coordinate     z-coordinate         pressure 
       176 -1.485937968E-01 -7.217112231E-02  1.315767177E-01 -8.378772659E+01 
       177 -1.455578050E-01 -3.487428442E-02  1.315785122E-01 -6.570793638E+01 
       178 -1.719109610E-01 -3.924320969E-02  1.315921961E-01 -9.780599380E+01 
       179 -1.481298839E-01 -7.323002285E-02  1.316942643E-01 -8.455966015E+01 
       180 -1.831544777E-01 -2.369080611E-02  1.316946419E-01 -8.951354253E+01 
       181 -1.324589145E-01 -5.040456771E-02  1.317214885E-01 -6.753530618E+01 
       182 -1.605306219E-01 -2.409837760E-02  1.317993554E-01 -8.728408780E+01 
       183 -1.809594099E-01 -2.772997887E-02  1.319673655E-01 -9.155613590E+01 
       184 -1.451275712E-01 -7.904718764E-02  1.321526826E-01 -8.283950418E+01 
       185 -1.456355828E-01 -7.839257333E-02  1.321713448E-01 -8.783087697E+01 
       186 -1.288137879E-01 -6.651990202E-02  1.321837325E-01 -7.158804131E+01 
       187 -1.507497536E-01 -7.159676988E-02  1.322991684E-01 -8.616799273E+01 
       188 -1.706489222E-01 -4.377210732E-02  1.323930682E-01 -1.003988483E+02 
       189 -1.281823859E-01 -5.529171215E-02  1.324140954E-01 -7.102686400E+01 
       190 -1.785856116E-01 -1.442864251E-02  1.324716817E-01 -9.667636628E+01 
       191 -1.660508583E-01 -1.974494753E-02  1.325109254E-01 -9.847351580E+01 
       192 -1.704169781E-01 -1.690973692E-02  1.325135727E-01 -1.101009383E+02 
       193 -1.864831625E-01 -2.179397727E-02  1.325152491E-01 -8.888025829E+01 
       194 -1.853075744E-01 -2.355575533E-02  1.325441368E-01 -8.784513240E+01 
       195 -1.268620940E-01 -5.761201327E-02  1.325462646E-01 -7.211012683E+01 
       196 -1.432159785E-01 -3.625427851E-02  1.326329649E-01 -6.447294199E+01 
       197 -1.495745727E-01 -3.120666490E-02  1.326749433E-01 -7.027515856E+01 
       198 -1.838903359E-01 -1.740738403E-02  1.327111770E-01 -8.917882254E+01 
       199 -1.780344949E-01 -3.456396512E-02  1.327545291E-01 -9.192162166E+01 
       200 -1.329905299E-01 -6.974306072E-02  1.328058402E-01 -6.379165938E+01 
       201 -1.394108188E-01 -4.060370024E-02  1.328190015E-01 -6.423340184E+01 
       202 -1.756198149E-01 -3.908935490E-02  1.330785013E-01 -9.406300343E+01 
       203 -1.355483363E-01 -4.532540377E-02  1.331135075E-01 -6.593433486E+01 
       204 -1.867755326E-01 -2.073201125E-02  1.332265271E-01 -8.927041474E+01 
       205 -1.840133092E-01 -1.666260646E-02  1.332438782E-01 -8.877250341E+01 
       206 -1.256599753E-01 -6.295099064E-02  1.334514014E-01 -7.252268483E+01 
       207 -1.767998363E-01 -1.337849405E-02  1.335183559E-01 -1.013361255E+02 
       208 -1.412349770E-01 -7.609238725E-02  1.335233952E-01 -6.916780288E+01 
       209 -1.469958315E-01 -3.248493373E-02  1.335377044E-01 -6.781490321E+01 
       210 -1.747530735E-01 -1.392502218E-02  1.335729026E-01 -1.083950201E+02 
       211 -1.830678144E-01 -3.034145524E-02  1.336000764E-01 -8.858511755E+01 
       212 -1.255074273E-01 -6.401888778E-02  1.336971133E-01 -7.364320275E+01 
       213 -1.506800683E-01 -7.717691508E-02  1.338991496E-01 -8.823837134E+01 
       214 -1.811573757E-01 -3.417020422E-02  1.339288908E-01 -8.833990596E+01 
       215 -1.443957349E-01 -7.853004030E-02  1.339354504E-01 -7.504073459E+01 
       216 -1.541376836E-01 -2.717830519E-02  1.339655023E-01 -7.579794033E+01 
       217 -1.356734347E-01 -7.183439485E-02  1.340382765E-01 -6.240152420E+01 
       218 -1.312807143E-01 -6.846138694E-02  1.340522959E-01 -6.736880947E+01 
       219 -1.498854344E-01 -7.889898277E-02  1.340737276E-01 -8.969112328E+01 
       220 -1.872582541E-01 -2.618757705E-02  1.341176631E-01 -8.700357576E+01 
       221 -1.520291624E-01 -7.644522997E-02  1.342425624E-01 -9.206603846E+01 
       222 -1.822270900E-01 -1.352329987E-02  1.343001611E-01 -8.992027555E+01 
       223 -1.851835780E-01 -2.990198371E-02  1.343453017E-01 -8.605307927E+01 
       224 -1.265505213E-01 -6.483684759E-02  1.343695149E-01 -7.445579981E+01 
       225 -1.306671259E-01 -5.043138452E-02  1.344808879E-01 -6.965963933E+01 
       226 -1.774954022E-01 -4.134583778E-02  1.345114731E-01 -9.119179825E+01 
       227 -1.281921006E-01 -5.349346123E-02  1.345962057E-01 -7.116687458E+01 
       228 -1.489747514E-01 -8.206373207E-02  1.346214857E-01 -9.183874062E+01 
       229 -1.502337210E-01 -8.043424789E-02  1.346656378E-01 -9.438728600E+01 
       230 -1.595729693E-01 -2.285511845E-02  1.347326668E-01 -8.356228750E+01 
       231 -1.388533757E-01 -3.975195540E-02  1.347530646E-01 -6.462382484E+01 
       232 -1.347882266E-01 -4.488539402E-02  1.348356682E-01 -6.712594559E+01 
       233 -1.770431219E-01 -4.354949386E-02  1.349679579E-01 -9.419111636E+01 
       234 -1.421532487E-01 -3.560895248E-02  1.349934601E-01 -6.531091067E+01 
       235 -1.511588095E-01 -2.860376087E-02  1.350110377E-01 -7.265123862E+01 
       236 -1.254274922E-01 -5.850615575E-02  1.350160258E-01 -7.364652654E+01 
       237 -1.647671999E-01 -1.896251010E-02  1.350850707E-01 -9.412124115E+01 
       238 -1.900270353E-01 -2.592195903E-02  1.351832343E-01 -8.487982296E+01 
       239 -1.699744338E-01 -1.532312470E-02  1.351834177E-01 -1.092801908E+02 
       240 -1.907838181E-01 -2.492601098E-02  1.352049743E-01 -8.771185834E+01 
       241 -1.731053731E-01 -1.338233757E-02  1.353409226E-01 -1.100791226E+02 
       242 -1.249189326E-01 -6.065409655E-02  1.354329897E-01 -7.394872964E+01 
       243 -1.834425191E-01 -3.712434472E-02  1.357345841E-01 -8.516086534E+01 
       244 -1.892405472E-01 -2.024778890E-02  1.357946726E-01 -8.752496122E+01 
       245 -1.310664331E-01 -6.834203091E-02  1.358483854E-01 -6.868337305E+01 
       246 -1.869110593E-01 -1.595009085E-02  1.359898005E-01 -8.676153943E+01 
       247 -1.403711350E-01 -3.679469265E-02  1.360119508E-01 -6.489920327E+01 
       248 -1.455923545E-01 -3.191302023E-02  1.360293996E-01 -6.845256901E+01 
       249 -1.690957741E-01 -1.527627135E-02  1.361159320E-01 -1.046530382E+02 
       250 -1.820231670E-01 -4.045212314E-02  1.361199201E-01 -8.667843625E+01 
       251 -1.530248088E-01 -8.150158492E-02  1.361294859E-01 -9.886147816E+01 
       252 -1.453261632E-01 -7.929976972E-02  1.361295253E-01 -8.088418215E+01 
       253 -1.776696365E-01 -1.106377841E-02  1.361724035E-01 -9.774533492E+01 
       254 -1.559145696E-01 -2.445336544E-02  1.362759050E-01 -7.841196091E+01 
       255 -1.542976698E-01 -8.042133163E-02  1.363396854E-01 -9.946392005E+01 
       256 -1.363174655E-01 -7.238742020E-02  1.363607564E-01 -6.189039003E+01 
       257 -1.912614994E-01 -2.335932608E-02  1.363875368E-01 -8.751809743E+01 
       258 -1.805022426E-01 -1.104222865E-02  1.363877462E-01 -9.183858634E+01 
       259 -1.612377585E-01 -2.060059911E-02  1.364229248E-01 -8.715741011E+01 
       260 -1.482204462E-01 -8.153081139E-02  1.364631141E-01 -8.804700104E+01 
       261 -1.884585585E-01 -3.278616269E-02  1.365392332E-01 -8.314679484E+01 
       262 -1.306188050E-01 -4.875546553E-02  1.366039958E-01 -6.987306742E+01 
       263 -1.659991125E-01 -1.703998964E-02  1.367258860E-01 -9.801345710E+01 
       264 -1.433155316E-01 -3.325562971E-02  1.367299819E-01 -6.709568497E+01 
       265 -1.267968022E-01 -6.509058944E-02  1.369369342E-01 -7.692556673E+01 
       266 -1.264236933E-01 -5.383004963E-02  1.369406596E-01 -7.287078089E+01 
       267 -1.526040968E-01 -8.490947444E-02  1.369504953E-01 -1.025134362E+02 
       268 -1.533791617E-01 -8.390718762E-02  1.369779353E-01 -1.044178847E+02 
       269 -1.321040036E-01 -4.654048728E-02  1.369961104E-01 -6.851723843E+01 
       270 -1.892427921E-01 -1.800562070E-02  1.370257786E-01 -8.471418555E+01 
       271 -1.249950561E-01 -5.629092160E-02  1.370691256E-01 -7.417183758E+01 
       272 -1.874899954E-01 -3.608267943E-02  1.371015569E-01 -8.250340904E+01 
       273 -1.396453583E-01 -7.496177929E-02  1.371049299E-01 -6.608651198E+01 
       274 -1.366884495E-01 -4.058302129E-02  1.371304014E-01 -6.561769722E+01 
       275 -1.856481075E-01 -1.321114429E-02  1.372224622E-01 -8.711988337E+01 
       276 -1.917930857E-01 -3.066689331E-02  1.372973238E-01 -8.237327734E+01 
       277 -1.357464963E-01 -4.161749042E-02  1.373360334E-01 -6.666785677E+01 
       278 -1.734157302E-01 -1.175458814E-02  1.374171925E-01 -1.074320509E+02 
       279 -1.763471320E-01 -1.049528462E-02  1.374240552E-01 -1.019448956E+02 
       280 -1.495892936E-01 -2.802142740E-02  1.377302535E-01 -7.199409903E+01 
       281 -1.838866776E-01 -4.355379757E-02  1.377946071E-01 -8.518760148E+01 
       282 -1.284704906E-01 -6.639795692E-02  1.378138781E-01 -7.503722988E+01 
       283 -1.828913880E-01 -4.539335675E-02  1.379206350E-01 -8.729447003E+01 
       284 -1.237709629E-01 -6.160718249E-02  1.380277710E-01 -7.563128950E+01 
       285 -1.858681334E-01 -1.245407569E-02  1.381224290E-01 -9.144416158E+01 
       286 -1.236165249E-01 -6.268204296E-02  1.382771879E-01 -7.774623406E+01 
       287 -1.940027368E-01 -3.092216017E-02  1.382840939E-01 -8.074264490E+01 
       288 -1.468245165E-01 -2.961931785E-02  1.383258262E-01 -7.022681618E+01 
       289 -1.956673900E-01 -2.875159185E-02  1.383377977E-01 -8.363832121E+01 
       290 -1.817559046E-01 -9.866819590E-03  1.383384322E-01 -9.685830038E+01 
       291 -1.901275885E-01 -1.727272221E-02  1.385053663E-01 -8.259219467E+01 
       292 -1.565885412E-01 -8.461231010E-02  1.385087557E-01 -1.091256981E+02 
