config,pitchAngle,yawAngle,ironcub-cd,ironcub-cl,ironcub-cs,head-cd,head-cl,head-cs,torso-cd,torso-cl,torso-cs,left-back-turbine-cd,left-back-turbine-cl,left-back-turbine-cs,right-back-turbine-cd,right-back-turbine-cl,right-back-turbine-cs,left-arm-cd,left-arm-cl,left-arm-cs,left-arm-turbine-cd,left-arm-turbine-cl,left-arm-turbine-cs,right-arm-cd,right-arm-cl,right-arm-cs,right-arm-turbine-cd,right-arm-turbine-cl,right-arm-turbine-cs,root-link-cd,root-link-cl,root-link-cs,left-leg-upper-cd,left-leg-upper-cl,left-leg-upper-cs,left-leg-lower-cd,left-leg-lower-cl,left-leg-lower-cs,right-leg-upper-cd,right-leg-upper-cl,right-leg-upper-cs,right-leg-lower-cd,right-leg-lower-cl,right-leg-lower-cs
Config1,160,-40,0.16505033,-0.029488184,0.042195651,0.0090555003,0.00081656337,-0.0061556071,0.024152345,-0.0031364132,0.0020829692,0.014406688,-0.010589427,-0.0088819966,0.0016534648,0.0014252354,0.0012520328,0.001823952,0.0011508175,0.00090968098,0.00935124,0.0024460519,0.0038392392,0.0055581426,-0.0036704613,-0.001121155,0.013805701,2.3754119E-05,0.0095377729,0.018967555,-0.012866812,-0.0014575922,0.0062896389,-0.0063983754,0.0047254774,0.023644578,-0.00066599247,0.012752932,0.0092559296,0.0013540946,0.009245295,0.027085598,0.00062278099,0.015466602
Config1,170,-40,0.15019745,-0.012859142,0.034258596,0.0077516934,0.002446551,-0.0086465642,0.021056854,-0.0027995578,8.2203104E-05,0.012964716,-0.012620016,-0.0071927905,0.0028203522,-0.00016668423,0.0010347857,0.0020419614,0.0022108909,0.00058496955,0.010522816,0.0054589315,0.003809045,0.0046628146,-0.0041870308,-0.00042469555,0.0125029,0.0016960468,0.0079774135,0.018088703,-0.011268114,-0.00011275494,0.0031648457,-0.0035662258,0.0048062107,0.02137951,0.0029791179,0.0096137665,0.0073175659,0.0028184537,0.0083213199,0.025922722,0.004138495,0.014405687
Config1,180,-40,0.14541723,0.017866442,0.028302935,0.0061213019,0.00023346037,-0.0061522534,0.024308597,0.0064015673,-0.0087469044,0.011799526,-0.0089708976,-0.0052994331,0.004747455,0.00041141418,0.0034787437,0.0027898368,0.0044037846,0.00026415574,0.012804183,0.0081322112,0.0034602818,0.0033945953,-0.0027876681,0.00094969832,0.011410192,-0.0015040034,0.0060511785,0.014859935,-0.0073832979,0.0032045793,0.0022485811,-0.00035548828,0.0049577274,0.019508,0.0074888929,0.007613001,0.0061986422,0.0043273352,0.006395765,0.025226384,0.007469131,0.012126395
Config1,0,-20,0.10013709,-0.019732011,0.022772307,0.013224605,-0.0091392419,0.0049644814,0.028240626,-0.00026244244,-0.00613726,0.011642174,-0.0038161961,-0.0056343357,0.0050055034,0.0014720777,0.0087945904,0.0032833238,0.0017481623,0.0012743214,0.0067402441,-0.00011991922,0.0012199696,-0.00012394291,-0.00046315805,-0.00018490338,0.0022673968,0.00069530495,0.0011297371,-0.0023306227,0.0010594622,0.0049261864,0.0063166428,-0.0045811018,0.0021975223,0.017048509,-0.0051074738,0.0098204056,-0.00066928865,0.0012005505,-0.00098895439,0.0094919178,-0.0024180356,0.0013905458
Config1,10,-20,0.10199084,-0.017678862,0.025403246,0.012685235,-0.0080323931,0.0054035569,0.032106422,-0.0048182298,-0.0062944562,0.010738699,-0.0019690989,-0.0039230777,0.0053688974,-0.0013493157,0.0076800256,0.003561887,0.001859691,0.0014364529,0.0081872208,0.00079428397,0.0027146414,0.0011607518,-0.00086050581,-0.00011968834,0.0048568592,0.0018284753,0.0027872641,-0.0025691583,0.0013842213,0.0023051897,0.0044965765,-0.0021384257,0.0021733257,0.014612199,-0.0018384465,0.0085775069,0.0013083288,-0.00097186428,0.0014333161,0.0054769178,-0.0015672536,0.0012291894
Config1,20,-20,0.1150754,0.0037891088,0.028887379,0.00981156,-0.0068030753,0.0069944956,0.039910233,0.0011264378,-0.0060029722,0.010850969,0.0019503973,-0.0038026676,0.0056763559,0.00050716874,0.0078013059,0.0046590205,0.0022736198,0.0011985755,0.0091986203,0.0018236654,0.0015306633,0.0017376294,0.0021793942,0.0020527994,0.0055068933,0.001124527,0.0035833181,0.00052226541,0.0048791646,0.001201389,0.0047199645,-0.0027892455,0.0044028688,0.014539486,-0.0026439634,0.0089042176,0.0023174146,0.0024154045,-0.0019926869,0.0056249901,-0.0022543865,0.0030160728
Config1,30,-20,0.13581232,0.029582835,0.036093649,0.009572611,-0.0025440796,0.0075674451,0.044796888,0.0084338706,-0.0034682582,0.011894375,0.0063925538,-0.0063059534,0.0077714337,0.001023563,0.0099178168,0.0057092086,0.0020827428,0.00099823495,0.010420492,0.0025474776,-0.00037877939,0.0039461097,0.0026178573,0.0033554304,0.0091570718,0.0031709901,0.0068522566,0.0033467666,0.010055731,0.0020677357,0.0046985222,0.00056522861,0.0050679099,0.015786886,-0.0044462872,0.0097594859,0.0039223538,0.0028421241,-0.00084054478,0.0047896042,-0.0031589369,0.0015008688
Config1,40,-20,0.15774957,0.058550988,0.029969679,0.0073533195,0.0015155455,0.0058003206,0.047245029,0.012406036,-0.0036097002,0.011670187,0.0075019875,-0.0087276279,0.0069763493,0.0042541766,0.0099981634,0.0072735481,0.0023099856,0.00031939312,0.011403443,0.0031135131,-0.0012738197,0.0060811113,0.0038346225,0.0043217731,0.012585662,0.0044949394,0.00831265,0.010623969,0.01343345,-0.00031450951,0.0099365535,0.0065020866,0.0036131463,0.016767401,-0.0021947859,0.011259885,0.0053274712,0.0034100605,-0.0024948875,0.0045055307,-0.00203063,0.0027648929
Config1,50,-20,0.18292398,0.076030987,0.01249633,0.00598291,0.005658646,0.0078928413,0.051243832,0.014701451,-0.005939133,0.012586135,0.011347968,-0.012760723,0.010826974,0.0079076666,0.010649807,0.0085903083,0.0020295238,-0.0010556989,0.012505293,0.0024524713,-0.0013180016,0.0071229369,0.0035788479,0.0045715039,0.014085665,0.0033057605,0.0089776212,0.015379811,0.013301545,-0.0029395423,0.011793437,0.010459452,-0.0022267057,0.018202134,0.00014749791,0.0062510799,0.0061585819,0.0029168188,-0.0020961696,0.0084459647,-0.0017766621,0.0024894504
Config1,60,-20,0.21332436,0.082042566,0.0058954824,0.0089723237,0.0096139163,0.0070390639,0.056016151,0.01746581,-0.0082095122,0.015983781,0.01451188,-0.018652655,0.011076645,0.0096345059,0.0058883909,0.0098554132,0.0019353076,-0.0028094285,0.013358811,0.00073959361,-0.001215348,0.0079608628,0.0037108905,0.0063278496,0.016172903,0.0024457848,0.0098361188,0.022217599,0.011902936,-0.0019976395,0.013670198,0.006159036,0.0017919111,0.019292139,-0.00036799045,0.010870133,0.010142222,0.0042669957,-0.0026181249,0.0086053099,2.3899561E-05,-0.00035527692
